recommendation_id,project_id,recommended_by,recommendation_date,recommended_work_type,recommended_amount,reason,approval_status,approval_date,remarks
REC-00001,MPLADS-SYN-0001,MP-595,2026-01-12,Street Lighting,810000,Water and sanitation,Approved,2026-03-07,Synthetic demonstration record
REC-00002,MPLADS-SYN-0002,MP-123,2026-01-08,Road,2150000,Community facility,Approved,2026-02-23,Synthetic demonstration record
REC-00003,MPLADS-SYN-0003,MP-524,2026-01-14,Drinking Water,650000,Road connectivity,Under Review,2026-03-10,Synthetic demonstration record
REC-00004,MPLADS-SYN-0004,MP-210,2026-03-01,Drainage,1600000,Local infrastructure need,Under Review,2026-04-07,Synthetic demonstration record
REC-00005,MPLADS-SYN-0005,MP-934,2025-11-17,School Building,1190000,Public utility improvement,Under Review,2025-12-28,Synthetic demonstration record
REC-00006,MPLADS-SYN-0006,MP-688,2026-05-14,Drinking Water,720000,Road connectivity,Under Review,2026-06-29,Synthetic demonstration record
REC-00007,MPLADS-SYN-0007,MP-805,2026-03-11,Solar Lighting,1690000,Public utility improvement,Rejected,2026-04-30,Synthetic demonstration record
REC-00008,MPLADS-SYN-0008,MP-862,2026-01-31,Street Lighting,500000,Road connectivity,Approved,2026-03-19,Synthetic demonstration record
REC-00009,MPLADS-SYN-0009,MP-130,2026-04-08,Drainage,2400000,Road connectivity,Rejected,2026-05-20,Synthetic demonstration record
REC-00010,MPLADS-SYN-0010,MP-189,2026-02-17,School Building,2290000,Community facility,Approved,2026-04-01,Synthetic demonstration record
REC-00011,MPLADS-SYN-0011,MP-918,2026-03-08,Street Lighting,730000,Road connectivity,Rejected,2026-04-20,Synthetic demonstration record
REC-00012,MPLADS-SYN-0012,MP-707,2026-05-15,Community Hall,3200000,Community facility,Approved,2026-06-27,Synthetic demonstration record
REC-00013,MPLADS-SYN-0013,MP-351,2026-05-10,Road,2880000,Road connectivity,Under Review,2026-05-27,Synthetic demonstration record
REC-00014,MPLADS-SYN-0014,MP-939,2025-11-10,Road,2900000,Water and sanitation,Under Review,2026-01-03,Synthetic demonstration record
REC-00015,MPLADS-SYN-0015,MP-615,2026-04-07,Road,1380000,Local infrastructure need,Rejected,2026-05-02,Synthetic demonstration record
REC-00016,MPLADS-SYN-0016,MP-159,2025-11-29,Road,1870000,Public utility improvement,Approved,2025-12-16,Synthetic demonstration record
REC-00017,MPLADS-SYN-0017,MP-981,2025-12-05,Drinking Water,1030000,Community facility,Rejected,2026-01-06,Synthetic demonstration record
REC-00018,MPLADS-SYN-0018,MP-921,2026-05-01,Drinking Water,600000,Community facility,Approved,2026-06-01,Synthetic demonstration record
REC-00019,MPLADS-SYN-0019,MP-405,2026-02-15,Drinking Water,990000,Public utility improvement,Under Review,2026-03-18,Synthetic demonstration record
REC-00020,MPLADS-SYN-0020,MP-515,2026-04-19,Health Facility,4350000,Community facility,Under Review,2026-05-15,Synthetic demonstration record
REC-00021,MPLADS-SYN-0021,MP-291,2026-06-02,Street Lighting,1520000,Local infrastructure need,Under Review,2026-07-11,Synthetic demonstration record
REC-00022,MPLADS-SYN-0022,MP-942,2026-06-28,Library,550000,Public utility improvement,Rejected,2026-07-17,Synthetic demonstration record
REC-00023,MPLADS-SYN-0023,MP-633,2026-06-05,Road,1240000,Community facility,Approved,2026-07-03,Synthetic demonstration record
REC-00024,MPLADS-SYN-0024,MP-988,2025-11-09,Health Facility,2140000,Road connectivity,Rejected,2026-01-02,Synthetic demonstration record
REC-00025,MPLADS-SYN-0025,MP-490,2025-11-03,Drainage,640000,Water and sanitation,Approved,2025-12-07,Synthetic demonstration record
REC-00026,MPLADS-SYN-0026,MP-921,2026-01-17,Library,1380000,Local infrastructure need,Approved,2026-03-03,Synthetic demonstration record
REC-00027,MPLADS-SYN-0027,MP-365,2025-12-03,Sports Facility,960000,Water and sanitation,Under Review,2026-01-16,Synthetic demonstration record
REC-00028,MPLADS-SYN-0028,MP-852,2025-11-12,School Building,2660000,Community facility,Approved,2026-01-08,Synthetic demonstration record
REC-00029,MPLADS-SYN-0029,MP-536,2026-06-14,Drainage,2160000,Local infrastructure need,Approved,2026-07-10,Synthetic demonstration record
REC-00030,MPLADS-SYN-0030,MP-931,2026-02-28,Community Hall,930000,Road connectivity,Approved,2026-03-30,Synthetic demonstration record
REC-00031,MPLADS-SYN-0031,MP-935,2026-03-25,School Building,1030000,Water and sanitation,Under Review,2026-05-01,Synthetic demonstration record
REC-00032,MPLADS-SYN-0032,MP-907,2026-01-27,Community Hall,1950000,Water and sanitation,Approved,2026-03-23,Synthetic demonstration record
REC-00033,MPLADS-SYN-0033,MP-754,2026-05-07,Solar Lighting,720000,Local infrastructure need,Approved,2026-06-10,Synthetic demonstration record
REC-00034,MPLADS-SYN-0034,MP-421,2026-04-26,School Building,4020000,Community facility,Approved,2026-05-24,Synthetic demonstration record
